"word"	"ndf"	"ndf_FRA"	"ndf_ITA"	"ndf_BGR"	"ndf_DEU"	"ndf_CAN"	"ndf_USA"	"ntf"	"ntf_FRA"	"ntf_ITA"	"ntf_BGR"	"ntf_DEU"	"ntf_CAN"	"ntf_USA"	"category"
"responsible"	0.000782105427811669	0.000618658747834694	0.000675067506750675	0.000671666853240793	0.00100217137130449	0.00119291070211316	0.000727657604021962	0.000794137819008772	0.000742390497401633	0.000675067506750675	0.000783611328780925	0.00116919993318858	0.00119291070211316	0.000727657604021962	"condPrs"
"discrete"	0.000685846298234848	0.00247463499133878	0.00315031503150315	0.000223888951080264			4.41004608498159e-05	0.000782105427811669	0.00284583024003959	0.00416291629162916	0.000223888951080264			4.41004608498159e-05	"condPrs"
"location"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.31798000216583	0.126948775055679	0.301305130513051	0.402104556140155	0.239184900618006	0.336741649625085	0.344292297854513	"loct"
"from"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.261596217016208	0.206879485275922	0.384225922592259	0.318593977387216	0.195256388842492	0.249147920927062	0.244074000573306	"loct"
"close"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.159212600320062	0.152066320217768	0.163591359135914	0.154931154147543	0.0960414230833472	0.191888207225631	0.163568609291967	"loct"
"quiet"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.143546426981434	0.179411036872061	0.173829882988299	0.119556699876861	0.136295306497411	0.148261758691207	0.135145862274261	"loct"
"area"	0.00999891708479226	0.00977480821578817	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.13118916122201	0.083024003959416	0.184968496849685	0.157953654987126	0.099549022882913	0.117927743694615	0.128707194990188	"loct"
"walk"	0.00999891708479226	0.00989853996535511	0.00978847884788479	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.117388008518933	0.0772086117297699	0.111161116111611	0.186947274152021	0.0770001670285619	0.131901840490798	0.114749399131221	"loct"
"located"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.00996670415205839	0.113886582680576	0.277035387280376	0.15976597659766	0.0865330795925221	0.147152163019876	0.111622358554874	0.0758968931225331	"loct"
"restaurants"	0.00999891708479226	0.00977480821578817	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.113489513771072	0.0639693145261074	0.0738073807380738	0.12683309078697	0.0930349089694338	0.131390593047035	0.127075477938744	"loct"
"city"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.00996670415205839	0.104826192109158	0.127814897302648	0.186093609360936	0.120004477779022	0.141807249039586	0.0882753919563736	0.0780578157041741	"loct"
"neighborhood"	0.00999891708479226	0.00989853996535511	0.0099009900990099	0.00660472405686779	0.00952062802739268	0.00971370143149284	0.0099887543824833	0.0916507237483305	0.0686711210096511	0.0767326732673267	0.0114183365050935	0.0424252547185569	0.0405589638718473	0.126943176556195	"loct"
"get"	0.00999891708479226	0.00927988121752042	0.00956345634563456	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.0867896377047011	0.0268497896560257	0.041966696669667	0.110825030784731	0.0706530816769668	0.0978186775732788	0.101364909263302	"loct"
"away"	0.00998688469359516	0.00952734471665429	0.00978847884788479	0.00996305832307176	0.00985468515116085	0.00988411724608044	0.0099887543824833	0.0781864779987727	0.0376144518683494	0.0445544554455446	0.0989589163774768	0.0643059963253716	0.0950920245398773	0.0868999581045622	"loct"
